date,tot_new_confirmed
4/15/2021,
4/14/2021,
4/13/2021,261210
4/12/2021,113257
4/11/2021,117549
4/10/2021,229797
4/9/2021,294322
4/8/2021,280679
4/7/2021,292305
4/6/2021,279998
4/5/2021,90975
4/4/2021,99907
4/3/2021,140488
4/2/2021,223890
4/1/2021,292676
3/31/2021,291898
3/30/2021,267474
3/29/2021,124517
3/28/2021,141323
3/27/2021,267322
3/26/2021,270505
3/25/2021,315462
3/24/2021,282992
3/23/2021,259675
3/22/2021,162559
3/21/2021,155610
3/20/2021,250581
3/19/2021,287880
3/18/2021,275603
3/17/2021,284916
3/16/2021,267030
3/15/2021,117747
3/14/2021,142981
3/13/2021,241041
3/12/2021,272510
3/11/2021,238664
3/10/2021,268530
3/9/2021,224096
3/8/2021,104217
3/7/2021,287466
3/6/2021,220445
3/5/2021,241179
3/4/2021,237754
3/3/2021,226622
3/2/2021,188434
3/1/2021,116906
2/28/2021,108268
2/27/2021,193237
2/26/2021,207850
2/25/2021,209946
2/24/2021,210467
2/23/2021,198241
2/22/2021,86713
2/21/2021,92402
2/20/2021,183904
2/19/2021,160237
2/18/2021,165846
2/17/2021,184159
2/16/2021,184692
2/15/2021,101489
2/14/2021,79767
2/13/2021,140951
2/12/2021,164084
2/11/2021,174598
2/10/2021,191233
2/9/2021,163629
2/8/2021,75264
2/7/2021,87553
2/6/2021,159751
2/5/2021,162064
2/4/2021,181347
2/3/2021,178101
2/2/2021,170461
2/1/2021,79010
1/31/2021,89311
1/30/2021,189181
1/29/2021,189650
1/28/2021,197248
1/27/2021,202815
1/26/2021,196233
1/25/2021,87232
1/24/2021,90126
1/23/2021,198165
1/22/2021,181894
1/21/2021,187964
1/20/2021,205571
1/19/2021,195583
1/18/2021,74869
1/17/2021,105482
1/16/2021,196254
1/15/2021,220521
1/14/2021,217178
1/13/2021,132868
1/12/2021,203810
1/11/2021,81444
1/10/2021,95067
1/9/2021,197715
1/8/2021,165606
1/7/2021,274123
1/6/2021,201835
1/5/2021,180297
1/4/2021,65431
1/3/2021,54837
1/2/2021,49969
1/1/2021,78128
12/31/2020,179190
12/30/2020,177860
12/29/2020,187723
12/28/2020,65326
12/27/2020,58909
12/26/2020,54892
12/25/2020,72694
12/24/2020,135343
12/23/2020,147057
12/22/2020,173665
12/21/2020,79222
12/20/2020,79101
12/19/2020,157667
12/18/2020,166585
12/17/2020,223851
12/16/2020,232033
12/15/2020,135820
12/14/2020,79521
12/13/2020,70519
12/12/2020,137031
12/11/2020,171552
12/10/2020,167237
12/9/2020,167188
12/8/2020,161885
12/7/2020,63775
12/6/2020,82988
12/5/2020,136543
12/4/2020,148100
12/3/2020,159395
12/2/2020,157381
12/1/2020,161174
11/30/2020,65941
11/29/2020,76887
11/28/2020,163032
11/27/2020,107137
11/26/2020,118723
11/25/2020,152571
11/24/2020,98255
11/23/2020,52244
11/22/2020,58088
11/21/2020,102882
11/20/2020,122085
11/19/2020,114579
11/18/2020,108392
11/17/2020,112739
11/16/2020,43034
11/15/2020,45139
11/14/2020,121015
11/13/2020,92335
11/12/2020,107820
11/11/2020,155850
11/10/2020,78266
11/9/2020,34374
11/8/2020,33499
11/7/2020,62375
11/6/2020,67191
11/5/2020,70256
11/4/2020,76152
11/3/2020,37350
11/2/2020,27306
11/1/2020,32053
10/31/2020,60241
10/30/2020,71184
10/29/2020,83784
10/28/2020,90552
10/27/2020,95149
10/26/2020,50278
10/25/2020,43495
10/24/2020,85889
10/23/2020,95670
10/22/2020,79471
10/21/2020,79902
10/20/2020,73226
10/19/2020,49113
10/18/2020,35064
10/17/2020,77048
10/16/2020,98268
10/15/2020,89736
10/14/2020,85653
10/13/2020,32629
10/12/2020,26255
10/11/2020,39476
10/10/2020,84735
10/9/2020,87166
10/8/2020,87763
10/7/2020,100594
10/6/2020,133192
10/5/2020,39065
10/4/2020,26732
10/3/2020,83444
10/2/2020,109002
10/1/2020,117753
9/30/2020,106008
9/29/2020,101787
9/28/2020,42488
9/27/2020,47174
9/26/2020,89933
9/25/2020,101865
9/24/2020,104344
9/23/2020,106767
9/22/2020,105201
9/21/2020,42382
9/20/2020,52672
9/19/2020,105460
9/18/2020,126782
9/17/2020,116674
9/16/2020,117391
9/15/2020,117076
9/14/2020,49793
9/13/2020,47194
9/12/2020,105689
9/11/2020,137595
9/10/2020,129486
9/9/2020,112535
9/8/2020,45267
9/7/2020,33044
9/6/2020,47050
9/5/2020,97841
9/4/2020,161857
9/3/2020,139964
9/2/2020,148131
9/1/2020,135363
8/31/2020,140777
8/30/2020,51545
8/29/2020,131342
8/28/2020,136710
8/27/2020,141016
8/26/2020,149281
8/25/2020,152559
8/24/2020,54367
8/23/2020,75598
8/22/2020,160162
8/21/2020,96766
8/20/2020,144603
8/19/2020,157397
8/18/2020,151347
8/17/2020,62092
8/16/2020,73576
8/15/2020,132774
8/14/2020,162313
8/13/2020,195366
8/12/2020,180909
8/11/2020,166218
8/10/2020,71431
8/9/2020,72938
8/8/2020,158449
8/7/2020,159819
8/6/2020,173391
8/5/2020,180683
8/4/2020,163878
8/3/2020,53524
8/2/2020,82392
8/1/2020,143595
7/31/2020,169407
7/30/2020,186292
7/29/2020,220300
7/28/2020,129230
7/27/2020,77234
7/26/2020,78686
7/25/2020,162466
7/24/2020,179194
7/23/2020,191444
7/22/2020,214932
7/21/2020,129419
7/20/2020,65031
7/19/2020,75855
7/18/2020,93115
7/17/2020,109289
7/16/2020,145445
7/15/2020,127121
7/14/2020,135867
7/13/2020,66194
7/12/2020,79995
7/11/2020,123356
7/10/2020,143959
7/9/2020,135557
7/8/2020,143071
7/7/2020,146273
7/6/2020,65886
7/5/2020,85271
7/4/2020,122289
7/3/2020,135299
7/2/2020,156009
7/1/2020,146945
6/30/2020,111616
6/29/2020,77421
6/28/2020,99105
6/27/2020,124191
6/26/2020,151326
6/25/2020,128573
6/24/2020,139271
6/23/2020,127140
6/22/2020,69061
6/21/2020,56335
6/20/2020,109239
6/19/2020,179864
6/18/2020,72412
6/17/2020,104478
6/16/2020,115619
6/15/2020,67842
6/14/2020,57689
6/13/2020,71908
6/12/2020,84273
6/11/2020,99169
6/10/2020,108237
6/9/2020,105092
6/8/2020,50047
6/7/2020,61013
6/6/2020,88921
6/5/2020,101381
6/4/2020,101416
6/3/2020,93451
6/2/2020,96679
6/1/2020,40820
5/31/2020,50911
5/30/2020,109720
5/29/2020,90775
5/28/2020,87827
5/27/2020,68235
5/26/2020,53994
5/25/2020,38635
5/24/2020,52235
5/23/2020,55239
5/22/2020,68977
5/21/2020,62884
5/20/2020,67661
5/19/2020,58995
5/18/2020,42648
5/17/2020,26587
5/16/2020,51365
5/15/2020,51205
5/14/2020,46891
5/13/2020,38926
5/12/2020,31508
5/11/2020,19074
5/10/2020,23170
5/9/2020,36924
5/8/2020,34456
5/7/2020,33914
5/6/2020,37029
5/5/2020,24101
5/4/2020,23440
5/3/2020,16185
5/2/2020,17310
5/1/2020,20790
4/30/2020,24859
