date,tot_new_confirmed
4/15/2021,
4/14/2021,4847
4/13/2021,347473
4/12/2021,302176
4/11/2021,482375
4/10/2021,457410
4/9/2021,426603
4/8/2021,394481
4/7/2021,372063
4/6/2021,346402
4/5/2021,300127
4/4/2021,294964
4/3/2021,280830
4/2/2021,262754
4/1/2021,244313
3/31/2021,219494
3/30/2021,173672
3/29/2021,160263
3/28/2021,186881
3/27/2021,187937
3/26/2021,182105
3/25/2021,175320
3/24/2021,161168
3/23/2021,143436
3/22/2021,124428
3/21/2021,130603
3/20/2021,130408
3/19/2021,121729
3/18/2021,116543
3/17/2021,107781
3/16/2021,90182
3/15/2021,74492
3/14/2021,74126
3/13/2021,73198
3/12/2021,71684
3/11/2021,68181
3/10/2021,65693
3/9/2021,55441
3/8/2021,45617
3/7/2021,49502
3/6/2021,52868
3/5/2021,52170
3/4/2021,48875
3/3/2021,48552
3/2/2021,44361
3/1/2021,36611
2/28/2021,40526
2/27/2021,45986
2/26/2021,46684
2/25/2021,46497
2/24/2021,47211
2/23/2021,41229
2/22/2021,31894
2/21/2021,36193
2/20/2021,39096
2/19/2021,39116
2/18/2021,37513
2/17/2021,35976
2/16/2021,33238
2/15/2021,26930
2/14/2021,29616
2/13/2021,33171
2/12/2021,33530
2/11/2021,27956
2/10/2021,31510
2/9/2021,31524
2/8/2021,25687
2/7/2021,29834
2/6/2021,33067
2/5/2021,32542
2/4/2021,33546
2/3/2021,35295
2/2/2021,32030
2/1/2021,25387
1/31/2021,28790
1/30/2021,34507
1/29/2021,36038
1/28/2021,46233
1/27/2021,40053
1/26/2021,35106
1/25/2021,28924
1/24/2021,33487
1/23/2021,40812
1/22/2021,41274
1/21/2021,40986
1/20/2021,42759
1/19/2021,40415
1/18/2021,31674
1/17/2021,35588
1/16/2021,41489
1/15/2021,43035
1/14/2021,44088
1/13/2021,46979
1/12/2021,46132
1/11/2021,38554
1/10/2021,42152
1/9/2021,51161
1/8/2021,70986
1/7/2021,33355
1/6/2021,56011
1/5/2021,53409
1/4/2021,48773
1/3/2021,46866
1/2/2021,49722
1/1/2021,55112
12/31/2020,53852
12/30/2020,60502
12/29/2020,59465
12/28/2020,49802
12/27/2020,53506
12/26/2020,53716
12/25/2020,59695
12/24/2020,64973
12/23/2020,68477
12/22/2020,68385
12/21/2020,58763
12/20/2020,64724
12/19/2020,73530
12/18/2020,75854
12/17/2020,74040
12/16/2020,55415
12/15/2020,71551
12/14/2020,65936
12/13/2020,71369
12/12/2020,82127
12/11/2020,84004
12/10/2020,83597
12/9/2020,86370
12/8/2020,88854
12/7/2020,79495
12/6/2020,86117
12/5/2020,97435
12/4/2020,101225
12/3/2020,101789
12/2/2020,99493
12/1/2020,100396
11/30/2020,91507
11/29/2020,100011
11/28/2020,112883
11/27/2020,114563
11/26/2020,117682
11/25/2020,122580
11/24/2020,122188
11/23/2020,110978
11/22/2020,115330
11/21/2020,123796
11/20/2020,126225
11/19/2020,126073
11/18/2020,124388
11/17/2020,111403
11/16/2020,88011
11/15/2020,83197
11/14/2020,101807
11/13/2020,117811
11/12/2020,121751
11/11/2020,127879
11/10/2020,124224
11/9/2020,108775
11/8/2020,118524
11/7/2020,125331
11/6/2020,133123
11/5/2020,133348
11/4/2020,135850
11/3/2020,129991
11/2/2020,112510
11/1/2020,119331
10/31/2020,129215
10/30/2020,131588
10/29/2020,134339
10/28/2020,137737
10/27/2020,126304
10/26/2020,108840
10/25/2020,119333
10/24/2020,136185
10/23/2020,148183
10/22/2020,152203
10/21/2020,156761
10/20/2020,154731
10/19/2020,137648
10/18/2020,150840
10/17/2020,169767
10/16/2020,176420
10/15/2020,179175
10/14/2020,188504
10/13/2020,184726
10/12/2020,164152
10/11/2020,182197
10/10/2020,205933
10/9/2020,211202
10/8/2020,204949
10/7/2020,217587
10/6/2020,212245
10/5/2020,183634
10/4/2020,201271
10/3/2020,215326
10/2/2020,224537
10/1/2020,231545
9/30/2020,241290
9/29/2020,234561
9/28/2020,208910
9/27/2020,225635
9/26/2020,247314
9/25/2020,247290
9/24/2020,244587
9/23/2020,246787
9/22/2020,240541
9/21/2020,221975
9/20/2020,238028
9/19/2020,258355
9/18/2020,264960
9/17/2020,273873
9/16/2020,278149
9/15/2020,266558
9/14/2020,243108
9/13/2020,257827
9/12/2020,266866
9/11/2020,275776
9/10/2020,276882
9/9/2020,274122
9/8/2020,263013
9/7/2020,230026
9/6/2020,248149
9/5/2020,260025
9/4/2020,253196
9/3/2020,242711
9/2/2020,237571
9/1/2020,230294
8/31/2020,207386
8/30/2020,219466
8/29/2020,226194
8/28/2020,222408
8/27/2020,221168
8/26/2020,220106
8/25/2020,201147
8/24/2020,180314
8/23/2020,177438
8/22/2020,194196
8/21/2020,199568
8/20/2020,200123
8/19/2020,199893
8/18/2020,192466
8/17/2020,167177
8/16/2020,166569
8/15/2020,179891
8/14/2020,186780
8/13/2020,185530
8/12/2020,189279
8/11/2020,181757
8/10/2020,160495
8/9/2020,171472
8/8/2020,184895
8/7/2020,179458
8/6/2020,178546
8/5/2020,168567
8/4/2020,152502
8/3/2020,147586
8/2/2020,151971
8/1/2020,156672
7/31/2020,163187
7/30/2020,160750
7/29/2020,154335
7/28/2020,146043
7/27/2020,136756
7/26/2020,141772
7/25/2020,144858
7/24/2020,141596
7/23/2020,140436
7/22/2020,135520
7/21/2020,118081
7/20/2020,106336
7/19/2020,112737
7/18/2020,110988
7/17/2020,104286
7/16/2020,100982
7/15/2020,95857
7/14/2020,87846
7/13/2020,82484
7/12/2020,83001
7/11/2020,81348
7/10/2020,79232
7/9/2020,75058
7/8/2020,72138
7/7/2020,65484
7/6/2020,62524
7/5/2020,65750
7/4/2020,68193
7/3/2020,66571
7/2/2020,62293
7/1/2020,55365
6/30/2020,51814
6/29/2020,52541
6/28/2020,53396
6/27/2020,55166
6/26/2020,51830
6/25/2020,49056
6/24/2020,45302
6/23/2020,42247
6/22/2020,41457
6/21/2020,40992
6/20/2020,40794
6/19/2020,40007
6/18/2020,37333
6/17/2020,35260
6/16/2020,30866
6/15/2020,29431
6/14/2020,31190
6/13/2020,32793
6/12/2020,32460
6/11/2020,31724
6/10/2020,29860
6/9/2020,26076
6/8/2020,26775
6/7/2020,27892
6/6/2020,27474
6/5/2020,26541
6/4/2020,26342
6/3/2020,25427
6/2/2020,23598
6/1/2020,22471
5/31/2020,22980
5/30/2020,22555
5/29/2020,22118
5/28/2020,20239
5/27/2020,18760
5/26/2020,16769
5/25/2020,17498
5/24/2020,19075
5/23/2020,18739
5/22/2020,18695
5/21/2020,17289
5/20/2020,16043
5/19/2020,15519
5/18/2020,14270
5/17/2020,14446
5/16/2020,14099
5/15/2020,12013
5/14/2020,11359
5/13/2020,10908
5/12/2020,10223
5/11/2020,10268
5/10/2020,11738
5/9/2020,10253
5/8/2020,9530
5/7/2020,9474
5/6/2020,10026
5/5/2020,9229
5/4/2020,9863
5/3/2020,9740
5/2/2020,7090
5/1/2020,7105
4/30/2020,5692
4/29/2020,5199
4/28/2020,5208
4/27/2020,4738
4/26/2020,3121
4/25/2020,3189
4/24/2020,3378
4/23/2020,3069
4/22/2020,2949
4/21/2020,2934
4/20/2020,2608
