date,tot_new_confirmed
4/15/2021,
4/14/2021,
4/13/2021,33
4/12/2021,6126
4/11/2021,2103
4/10/2021,4662
4/9/2021,9408
4/8/2021,10964
4/7/2021,11391
4/6/2021,12573
4/5/2021,15177
4/4/2021,3957
4/3/2021,4383
4/2/2021,4572
4/1/2021,5865
3/31/2021,11256
3/30/2021,12342
3/29/2021,14874
3/28/2021,3651
3/27/2021,6354
3/26/2021,11694
3/25/2021,12984
3/24/2021,13077
3/23/2021,14829
3/22/2021,17169
3/21/2021,4443
3/20/2021,7002
3/19/2021,13674
3/18/2021,14574
3/17/2021,15387
3/16/2021,19623
3/15/2021,6123
3/14/2021,4515
3/13/2021,7743
3/12/2021,14817
3/11/2021,15654
3/10/2021,16050
3/9/2021,17436
3/8/2021,20358
3/7/2021,5780
3/6/2021,8832
3/5/2021,17630
3/4/2021,18198
3/3/2021,19188
3/2/2021,20226
3/1/2021,25185
2/28/2021,6138
2/27/2021,10293
2/26/2021,20208
2/25/2021,19866
2/24/2021,20052
2/23/2021,22065
2/22/2021,25260
2/21/2021,5955
2/20/2021,10074
2/19/2021,19839
2/18/2021,20913
2/17/2021,20937
2/16/2021,23199
2/15/2021,24542
2/14/2021,6303
2/13/2021,11817
2/12/2021,22878
2/11/2021,23514
2/10/2021,25641
2/9/2021,27627
2/8/2021,34569
2/7/2021,8040
2/6/2021,15519
2/5/2021,30564
2/4/2021,32634
2/3/2021,35739
2/2/2021,40074
2/1/2021,13434
1/31/2021,10890
1/30/2021,19893
1/29/2021,37052
1/28/2021,42291
1/27/2021,44658
1/26/2021,51081
1/25/2021,53343
1/24/2021,13769
1/23/2021,25614
1/22/2021,49047
1/21/2021,50496
1/20/2021,51935
1/19/2021,56279
1/18/2021,57389
1/17/2021,15285
1/16/2021,27930
1/15/2021,51517
1/14/2021,54390
1/13/2021,54597
1/12/2021,57978
1/11/2021,61767
1/10/2021,16407
1/9/2021,29049
1/8/2021,55041
1/7/2021,56034
1/6/2021,54735
1/5/2021,55908
1/4/2021,53337
1/3/2021,15285
1/2/2021,20270
1/1/2021,9828
12/31/2020,35898
12/30/2020,43338
12/29/2020,47184
12/28/2020,46620
12/27/2020,12765
12/26/2020,17376
12/25/2020,7824
12/24/2020,30915
12/23/2020,37734
12/22/2020,41259
12/21/2020,42844
12/20/2020,11214
12/19/2020,19587
12/18/2020,37380
12/17/2020,38324
12/16/2020,39647
12/15/2020,41541
12/14/2020,42645
12/13/2020,10095
12/12/2020,20367
12/11/2020,37389
12/10/2020,37863
12/9/2020,36921
12/8/2020,38745
12/7/2020,38736
12/6/2020,9330
12/5/2020,17721
12/4/2020,32562
12/3/2020,33468
12/2/2020,33981
12/1/2020,34404
11/30/2020,32448
11/29/2020,8829
11/28/2020,14445
11/27/2020,28473
11/26/2020,28695
11/25/2020,28530
11/24/2020,30876
11/23/2020,30858
11/22/2020,8210
11/21/2020,12537
11/20/2020,24900
11/19/2020,24747
11/18/2020,26160
11/17/2020,28611
11/16/2020,9762
11/15/2020,7875
11/14/2020,11637
11/13/2020,22749
11/12/2020,24480
11/11/2020,25173
11/10/2020,26385
11/9/2020,26478
11/8/2020,7830
11/7/2020,10563
11/6/2020,21324
11/5/2020,22545
11/4/2020,22791
11/3/2020,24222
11/2/2020,15339
11/1/2020,6423
10/31/2020,8946
10/30/2020,18843
10/29/2020,20610
10/28/2020,21516
10/27/2020,23885
10/26/2020,25137
10/25/2020,7344
10/24/2020,10428
10/23/2020,21768
10/22/2020,21840
10/21/2020,22188
10/20/2020,25158
10/19/2020,24666
10/18/2020,7002
10/17/2020,9951
10/16/2020,19899
10/15/2020,19464
10/14/2020,19449
10/13/2020,21399
10/12/2020,20343
10/11/2020,6506
10/10/2020,9033
10/9/2020,17151
10/8/2020,16494
10/7/2020,17124
10/6/2020,17883
10/5/2020,17490
10/4/2020,5187
10/3/2020,7266
10/2/2020,15078
10/1/2020,15852
9/30/2020,16575
9/29/2020,18009
9/28/2020,18696
9/27/2020,5406
9/26/2020,7920
9/25/2020,15849
9/24/2020,16110
9/23/2020,17415
9/22/2020,18516
9/21/2020,18855
9/20/2020,5430
9/19/2020,8355
9/18/2020,17019
9/17/2020,19122
9/16/2020,6621
9/15/2020,12993
9/14/2020,18751
9/13/2020,5667
9/12/2020,8370
9/11/2020,16539
9/10/2020,17130
9/9/2020,18243
9/8/2020,19848
9/7/2020,19167
9/6/2020,6225
9/5/2020,8631
9/4/2020,18198
9/3/2020,18858
9/2/2020,20871
9/1/2020,21351
8/31/2020,20976
8/30/2020,6588
8/29/2020,9399
8/28/2020,19053
8/27/2020,19392
8/26/2020,21156
8/25/2020,19962
8/24/2020,21120
8/23/2020,7002
8/22/2020,9420
8/21/2020,18924
8/20/2020,18054
8/19/2020,18831
8/18/2020,20118
8/17/2020,20736
8/16/2020,6942
8/15/2020,9714
8/14/2020,18633
8/13/2020,19350
8/12/2020,19410
8/11/2020,20688
8/10/2020,21666
8/9/2020,7248
8/8/2020,10998
8/7/2020,19821
8/6/2020,20091
8/5/2020,21504
8/4/2020,22181
8/3/2020,22527
8/2/2020,7587
8/1/2020,11454
7/31/2020,20196
7/30/2020,22764
7/29/2020,22980
7/28/2020,24600
7/27/2020,25440
7/26/2020,9126
7/25/2020,12570
7/24/2020,24072
7/23/2020,24219
7/22/2020,24918
7/21/2020,25946
7/20/2020,27366
7/19/2020,10341
7/18/2020,13269
7/17/2020,24065
7/16/2020,24774
7/15/2020,26514
7/14/2020,25383
7/13/2020,26673
7/12/2020,9750
7/11/2020,11721
7/10/2020,21516
7/9/2020,21189
7/8/2020,22370
7/7/2020,23805
7/6/2020,23607
7/5/2020,9093
7/4/2020,11085
7/3/2020,21240
7/2/2020,21204
7/1/2020,23016
6/30/2020,21576
6/29/2020,22602
6/28/2020,9018
6/27/2020,11151
6/26/2020,19713
6/25/2020,18912
6/24/2020,18921
6/23/2020,19770
6/22/2020,20748
6/21/2020,7605
6/20/2020,10881
6/19/2020,18309
6/18/2020,18297
6/17/2020,18435
6/16/2020,19305
6/15/2020,19815
6/14/2020,7896
6/13/2020,9537
6/12/2020,17046
6/11/2020,16284
6/10/2020,17309
6/9/2020,17403
6/8/2020,18576
6/7/2020,7212
6/6/2020,9237
6/5/2020,15201
6/4/2020,14835
6/3/2020,14961
6/2/2020,14304
6/1/2020,16059
5/31/2020,6372
5/30/2020,8292
5/29/2020,13140
5/28/2020,12749
5/27/2020,13434
5/26/2020,13050
5/25/2020,14072
5/24/2020,5757
5/23/2020,6972
5/22/2020,12071
5/21/2020,12083
5/20/2020,11895
5/19/2020,10929
5/18/2020,12310
5/17/2020,4995
5/16/2020,6603
5/15/2020,10770
5/14/2020,9416
5/13/2020,9456
5/12/2020,8988
5/11/2020,9057
5/10/2020,4383
5/9/2020,4692
5/8/2020,7356
5/7/2020,7313
5/6/2020,6935
5/5/2020,6414
5/4/2020,7662
5/3/2020,3858
5/2/2020,4179
5/1/2020,4385
4/30/2020,5484
