date,tot_new_confirmed
4/15/2021,
4/14/2021,
4/13/2021,
4/12/2021,3394
4/11/2021,7569
4/10/2021,7220
4/9/2021,9910
4/8/2021,11104
4/7/2021,11575
4/6/2021,11929
4/5/2021,10027
4/4/2021,8804
4/3/2021,9204
4/2/2021,10072
4/1/2021,13503
3/31/2021,14581
3/30/2021,13990
3/29/2021,15548
3/28/2021,19136
3/27/2021,13900
3/26/2021,17171
3/25/2021,20943
3/24/2021,23622
3/23/2021,20432
3/22/2021,24177
3/21/2021,20611
3/20/2021,15947
3/19/2021,19480
3/18/2021,21321
3/17/2021,22540
3/16/2021,22192
3/15/2021,25446
3/14/2021,16804
3/13/2021,16486
3/12/2021,21795
3/11/2021,22377
3/10/2021,23537
3/9/2021,24388
3/8/2021,25952
3/7/2021,16710
3/6/2021,17500
3/5/2021,20870
3/4/2021,22370
3/3/2021,23508
3/2/2021,26152
3/1/2021,26966
2/28/2021,18500
2/27/2021,18965
2/26/2021,25901
2/25/2021,30286
2/24/2021,33497
2/23/2021,37092
2/22/2021,44459
2/21/2021,31058
2/20/2021,31764
2/19/2021,40885
2/18/2021,45061
2/17/2021,45574
2/16/2021,49260
2/15/2021,56409
2/14/2021,34557
2/13/2021,34748
2/12/2021,48127
2/11/2021,50702
2/10/2021,53578
2/9/2021,55042
2/8/2021,62508
2/7/2021,45438
2/6/2021,47822
2/5/2021,63288
2/4/2021,72173
2/3/2021,77950
2/2/2021,79529
2/1/2021,90036
1/31/2021,61844
1/30/2021,67362
1/29/2021,87966
1/28/2021,97705
1/27/2021,103998
1/26/2021,109012
1/25/2021,121208
1/24/2021,69813
1/23/2021,89175
1/22/2021,120481
1/21/2021,128985
1/20/2021,142625
1/19/2021,160580
1/18/2021,182539
1/17/2021,117705
1/16/2021,124893
1/15/2021,165463
1/14/2021,173769
1/13/2021,185780
1/12/2021,201715
1/11/2021,233827
1/10/2021,148843
1/9/2021,160851
1/8/2021,193020
1/7/2021,213692
1/6/2021,236016
1/5/2021,266948
1/4/2021,313585
1/3/2021,227521
1/2/2021,248244
1/1/2021,130098
12/31/2020,216662
12/30/2020,291500
12/29/2020,335851
12/28/2020,186736
12/27/2020,198096
12/26/2020,169179
12/25/2020,59386
12/24/2020,132979
12/23/2020,175617
12/22/2020,190311
12/21/2020,196948
12/20/2020,134723
12/19/2020,103723
12/18/2020,149307
12/17/2020,140803
12/16/2020,144217
12/15/2020,138914
12/14/2020,141386
12/13/2020,89309
12/12/2020,78473
12/11/2020,97195
12/10/2020,90934
12/9/2020,86326
12/8/2020,82320
12/7/2020,84731
12/6/2020,53921
12/5/2020,50404
12/4/2020,62491
12/3/2020,61614
12/2/2020,65358
12/1/2020,65032
11/30/2020,71470
11/29/2020,42451
11/28/2020,43605
11/27/2020,57265
11/26/2020,57833
11/25/2020,65781
11/24/2020,65264
11/23/2020,74667
11/22/2020,46591
11/21/2020,48974
11/20/2020,67097
11/19/2020,70709
11/18/2020,82610
11/17/2020,91961
11/16/2020,106180
11/15/2020,63917
11/14/2020,71767
11/13/2020,96143
11/12/2020,97856
11/11/2020,109227
11/10/2020,109029
11/9/2020,123945
11/8/2020,79414
11/7/2020,73611
11/6/2020,92490
11/5/2020,93751
11/4/2020,93362
11/3/2020,100765
11/2/2020,124903
11/1/2020,61621
10/31/2020,64959
10/30/2020,89183
10/29/2020,91573
10/28/2020,92625
10/27/2020,94408
10/26/2020,104438
10/25/2020,61399
10/24/2020,63392
10/23/2020,84097
10/22/2020,91068
10/21/2020,99624
10/20/2020,99138
10/19/2020,100693
10/18/2020,55459
10/17/2020,57463
10/16/2020,68908
10/15/2020,71803
10/14/2020,76673
10/13/2020,73140
10/12/2020,75662
10/11/2020,46372
10/10/2020,48314
10/9/2020,61125
10/8/2020,71089
10/7/2020,71122
10/6/2020,66294
10/5/2020,64586
10/4/2020,45869
10/3/2020,44814
10/2/2020,53321
10/1/2020,51536
9/30/2020,48788
9/29/2020,39835
9/28/2020,38706
9/27/2020,27270
9/26/2020,26271
9/25/2020,28059
9/24/2020,29496
9/23/2020,27468
9/22/2020,24872
9/21/2020,21730
9/20/2020,20875
9/19/2020,18925
9/18/2020,19312
9/17/2020,17951
9/16/2020,16965
9/15/2020,13777
9/14/2020,13220
9/13/2020,8158
9/12/2020,10349
9/11/2020,12836
9/10/2020,14174
9/9/2020,13111
9/8/2020,13185
9/7/2020,15439
9/6/2020,9561
9/5/2020,10047
9/4/2020,11992
9/3/2020,12244
9/2/2020,11870
9/1/2020,8935
8/31/2020,5964
8/30/2020,4569
8/29/2020,4811
8/28/2020,6401
8/27/2020,6161
8/26/2020,5316
8/25/2020,4886
8/24/2020,5091
8/23/2020,3305
8/22/2020,3292
8/21/2020,4734
8/20/2020,5757
8/19/2020,4920
8/18/2020,4328
8/17/2020,5146
8/16/2020,2408
8/15/2020,2819
8/14/2020,4636
8/13/2020,4556
8/12/2020,4859
8/11/2020,5341
8/10/2020,5865
8/9/2020,2458
8/8/2020,2766
8/7/2020,3800
8/6/2020,4295
8/5/2020,4205
8/4/2020,4062
8/3/2020,4130
8/2/2020,2239
8/1/2020,2172
7/31/2020,2716
7/30/2020,3714
7/29/2020,4175
7/28/2020,3386
7/27/2020,3452
7/26/2020,2237
7/25/2020,2114
7/24/2020,3079
7/23/2020,3161
7/22/2020,3187
7/21/2020,3093
7/20/2020,3266
7/19/2020,1769
7/18/2020,2001
7/17/2020,2317
7/16/2020,2808
7/15/2020,3101
7/14/2020,2754
7/13/2020,2936
7/12/2020,1496
7/11/2020,1754
7/10/2020,2233
7/9/2020,2868
7/8/2020,2805
7/7/2020,2410
7/6/2020,2806
7/5/2020,2249
7/4/2020,1606
7/3/2020,2278
7/2/2020,2392
7/1/2020,2612
6/30/2020,2471
6/29/2020,2884
6/28/2020,1764
6/27/2020,2485
6/26/2020,2686
6/25/2020,2833
6/24/2020,3082
6/23/2020,3402
6/22/2020,3532
6/21/2020,2478
6/20/2020,2702
6/19/2020,3806
6/18/2020,4031
6/17/2020,3959
6/16/2020,4317
6/15/2020,4085
6/14/2020,3222
6/13/2020,3495
6/12/2020,4153
6/11/2020,3969
6/10/2020,4680
6/9/2020,4559
6/8/2020,4320
6/7/2020,2857
6/6/2020,3171
6/5/2020,4411
6/4/2020,4922
6/3/2020,5347
6/2/2020,5821
6/1/2020,5640
5/31/2020,4257
5/30/2020,4368
5/29/2020,5974
5/28/2020,6862
5/27/2020,7140
5/26/2020,6439
5/25/2020,6251
5/24/2020,5321
5/23/2020,5925
5/22/2020,7993
5/21/2020,10054
5/20/2020,10528
5/19/2020,11762
5/18/2020,9951
5/17/2020,7122
5/16/2020,8035
5/15/2020,9761
5/14/2020,10158
5/13/2020,12867
5/12/2020,13164
5/11/2020,13867
5/10/2020,9045
5/9/2020,8335
5/8/2020,11897
5/7/2020,14596
5/6/2020,14828
5/5/2020,14222
5/4/2020,13105
5/3/2020,11535
5/2/2020,12517
5/1/2020,18460
4/30/2020,19420
