date,tot_new_confirmed
4/15/2021,
4/14/2021,
4/13/2021,150962
4/12/2021,145644
4/11/2021,144308
4/10/2021,186210
4/9/2021,247324
4/8/2021,234609
4/7/2021,244844
4/6/2021,184319
4/5/2021,223281
4/4/2021,107711
4/3/2021,179775
4/2/2021,206090
4/1/2021,231510
3/31/2021,228075
3/30/2021,179923
3/29/2021,209892
3/28/2021,134299
3/27/2021,169846
3/26/2021,230600
3/25/2021,207537
3/24/2021,244456
3/23/2021,163739
3/22/2021,174904
3/21/2021,112533
3/20/2021,154535
3/19/2021,189704
3/18/2021,182715
3/17/2021,196867
3/16/2021,153243
3/15/2021,174896
3/14/2021,113248
3/13/2021,145804
3/12/2021,191938
3/11/2021,323458
3/10/2021,196988
3/9/2021,163109
3/8/2021,228330
3/7/2021,122402
3/6/2021,167191
3/5/2021,203057
3/4/2021,202521
3/3/2021,211512
3/2/2021,166229
3/1/2021,173209
2/28/2021,146884
2/27/2021,201394
2/26/2021,223293
2/25/2021,228540
2/24/2021,232696
2/23/2021,218087
2/22/2021,171098
2/21/2021,169128
2/20/2021,204332
2/19/2021,232140
2/18/2021,207374
2/17/2021,217137
2/16/2021,179160
2/15/2021,216016
2/14/2021,160979
2/13/2021,260380
2/12/2021,300190
2/11/2021,314281
2/10/2021,304568
2/9/2021,281206
2/8/2021,260116
2/7/2021,268238
2/6/2021,327051
2/5/2021,386934
2/4/2021,385545
2/3/2021,382732
2/2/2021,339428
2/1/2021,385763
1/31/2021,343139
1/30/2021,409365
1/29/2021,503198
1/28/2021,489576
1/27/2021,486113
1/26/2021,443825
1/25/2021,415271
1/24/2021,419490
1/23/2021,513089
1/22/2021,571626
1/21/2021,577679
1/20/2021,580930
1/19/2021,477894
1/18/2021,439025
1/17/2021,535446
1/16/2021,656298
1/15/2021,697397
1/14/2021,708697
1/13/2021,693892
1/12/2021,660530
1/11/2021,618740
1/10/2021,655178
1/9/2021,750615
1/8/2021,913192
1/7/2021,843022
1/6/2021,838784
1/5/2021,687572
1/4/2021,564738
1/3/2021,616311
1/2/2021,803284
1/1/2021,534457
12/31/2020,746149
12/30/2020,686700
12/29/2020,612352
12/28/2020,536467
12/27/2020,436670
12/26/2020,591933
12/25/2020,373083
12/24/2020,627915
12/23/2020,653718
12/22/2020,595491
12/21/2020,558760
12/20/2020,574568
12/19/2020,601047
12/18/2020,892329
12/17/2020,698788
12/16/2020,733942
12/15/2020,626919
12/14/2020,599272
12/13/2020,559849
12/12/2020,639832
12/11/2020,721939
12/10/2020,653918
12/9/2020,687932
12/8/2020,665411
12/7/2020,560101
12/6/2020,527755
12/5/2020,632862
12/4/2020,675560
12/3/2020,655098
12/2/2020,612187
12/1/2020,553071
11/30/2020,468741
11/29/2020,430349
11/28/2020,453602
11/27/2020,555349
11/26/2020,391664
11/25/2020,554405
11/24/2020,510268
11/23/2020,495628
11/22/2020,441874
11/21/2020,540882
11/20/2020,585614
11/19/2020,560204
11/18/2020,514429
11/17/2020,483689
11/16/2020,475366
11/15/2020,406502
11/14/2020,496307
11/13/2020,532876
11/12/2020,507852
11/11/2020,439708
11/10/2020,413397
11/9/2020,364277
11/8/2020,322559
11/7/2020,388209
11/6/2020,393786
11/5/2020,362449
11/4/2020,320591
11/3/2020,335871
11/2/2020,254966
11/1/2020,253132
10/31/2020,267164
10/30/2020,290306
10/29/2020,269085
10/28/2020,242359
10/27/2020,218281
10/26/2020,198584
10/25/2020,190297
10/24/2020,243723
10/23/2020,248018
10/22/2020,215532
10/21/2020,197623
10/20/2020,174211
10/19/2020,190505
10/18/2020,145388
10/17/2020,161987
10/16/2020,209304
10/15/2020,190944
10/14/2020,180684
10/13/2020,142057
10/12/2020,135665
10/11/2020,132203
10/10/2020,171478
10/9/2020,171004
10/8/2020,166341
10/7/2020,158226
10/6/2020,120745
10/5/2020,119105
10/4/2020,109882
10/3/2020,143471
10/2/2020,153481
10/1/2020,138328
9/30/2020,134250
9/29/2020,113285
9/28/2020,105679
9/27/2020,106777
9/26/2020,135641
9/25/2020,154907
9/24/2020,129948
9/23/2020,122188
9/22/2020,117577
9/21/2020,126650
9/20/2020,109960
9/19/2020,126876
9/18/2020,148667
9/17/2020,131673
9/16/2020,121428
9/15/2020,103725
9/14/2020,105370
9/13/2020,101658
9/12/2020,120216
9/11/2020,137799
9/10/2020,115434
9/9/2020,102833
9/8/2020,69898
9/7/2020,79929
9/6/2020,96260
9/5/2020,129791
9/4/2020,150960
9/3/2020,133175
9/2/2020,116763
9/1/2020,114715
8/31/2020,112416
8/30/2020,108916
8/29/2020,131890
8/28/2020,137432
8/27/2020,136659
8/26/2020,135995
8/25/2020,112472
8/24/2020,107882
8/23/2020,108191
8/22/2020,131513
8/21/2020,143293
8/20/2020,131806
8/19/2020,142051
8/18/2020,122098
8/17/2020,113124
8/16/2020,123195
8/15/2020,147780
8/14/2020,182865
8/13/2020,156596
8/12/2020,163923
8/11/2020,157187
8/10/2020,142560
8/9/2020,141711
8/8/2020,158462
8/7/2020,182791
8/6/2020,171469
8/5/2020,168150
8/4/2020,156687
8/3/2020,141548
8/2/2020,140730
8/1/2020,172515
7/31/2020,206233
7/30/2020,201137
7/29/2020,205872
7/28/2020,184689
7/27/2020,168393
7/26/2020,175643
7/25/2020,188937
7/24/2020,223689
7/23/2020,214480
7/22/2020,211658
7/21/2020,192830
7/20/2020,180110
7/19/2020,181413
7/18/2020,198314
7/17/2020,217286
7/16/2020,215013
7/15/2020,212306
7/14/2020,192747
7/13/2020,172810
7/12/2020,175148
7/11/2020,195799
7/10/2020,204286
7/9/2020,186675
7/8/2020,182545
7/7/2020,170733
7/6/2020,138527
7/5/2020,136852
7/4/2020,151423
7/3/2020,167476
7/2/2020,160837
7/1/2020,165489
6/30/2020,137885
6/29/2020,118543
6/28/2020,118521
6/27/2020,125377
6/26/2020,139245
6/25/2020,127329
6/24/2020,110493
6/23/2020,107880
6/22/2020,92116
6/21/2020,81868
6/20/2020,96629
6/19/2020,102833
6/18/2020,78412
6/17/2020,76525
6/16/2020,70628
6/15/2020,61696
6/14/2020,62302
6/13/2020,73316
6/12/2020,74557
6/11/2020,65568
6/10/2020,64478
6/9/2020,50415
6/8/2020,56765
6/7/2020,55167
6/6/2020,72618
6/5/2020,79181
6/4/2020,63007
6/3/2020,56076
6/2/2020,63874
6/1/2020,56246
5/31/2020,66515
5/30/2020,70326
5/29/2020,67828
5/28/2020,67393
5/27/2020,60250
5/26/2020,53182
5/25/2020,62564
5/24/2020,55135
5/23/2020,70599
5/22/2020,73374
5/21/2020,73186
5/20/2020,69950
5/19/2020,67220
5/18/2020,66757
5/17/2020,51052
5/16/2020,81029
5/15/2020,73182
5/14/2020,81227
5/13/2020,66125
5/12/2020,67570
5/11/2020,57951
5/10/2020,63384
5/9/2020,76768
5/8/2020,82005
5/7/2020,84880
5/6/2020,72602
5/5/2020,71862
5/4/2020,62446
5/3/2020,79498
5/2/2020,89610
5/1/2020,93985
4/30/2020,93260
