date,latitude,longitude
4/16/2021,34.57,-84
4/16/2021,31.93,-82.94
4/16/2021,34.92,-83.74
4/16/2021,33.41,-82.68
4/16/2021,64,-150
4/16/2021,41.6,-72.7
4/16/2021,35.5,-98
4/16/2021,60.75,-160.5
4/16/2021,63.788889,-150.191667
4/16/2021,32.845278,-86.714444
4/16/2021,31.425556,-86.993889
4/16/2021,36.368056,-93.496389
4/16/2021,35.291667,-90.773333
4/16/2021,36.388611,-91.814444
4/16/2021,34.294444,-92.431667
4/16/2021,36.1,-91.9
4/16/2021,35.593889,-91.193611
4/16/2021,34.2875,-91.942222
4/16/2021,36.279722,-92.715833
4/16/2021,35.935556,-93.221944
4/16/2021,34.880278,-94.070833
4/16/2021,38.58,-119.8
4/16/2021,33.04,-115.35
4/16/2021,40.76,-122.04
4/16/2021,39.64,-104.33
4/16/2021,37.19,-107.05
4/16/2021,39.02,-108.47
4/16/2021,41.81,-72.73
4/16/2021,41.35,-72.9
4/16/2021,38.895,-77.036667
4/16/2021,38.68,-75.34
4/16/2021,28.85,-82.52
4/16/2021,29.47,-81.3
4/16/2021,28.77,-81.72
4/16/2021,27.08,-80.4
4/16/2021,41.029167,-94.699167
4/16/2021,40.927778,-91.183889
4/16/2021,41.688056,-93.061389
4/16/2021,41.218056,-91.26
4/16/2021,42.733056,-93.735556
4/16/2021,43.34,-115.47
4/16/2021,44.96,-113.95
4/16/2021,47.35,-115.89
4/16/2021,44.74,-115.56
4/16/2021,39,-87.76
4/16/2021,38.08,-88.54
4/16/2021,39.09,-90.36
4/16/2021,39.62,-90.89
4/16/2021,39.76,-89.66
4/16/2021,41.09,-89.79
4/16/2021,41.44,-87.98
4/16/2021,39.52,-85.79
4/16/2021,38.82,-85.03
4/16/2021,38.6,-86.11
4/16/2021,38.2,-95.2833
4/16/2021,37.7833,-96.8333
4/16/2021,38.3,-96.5833
4/16/2021,37.1833,-99.2667
4/16/2021,38.97,-84.73
4/16/2021,38.04,-84.46
4/16/2021,37.24,-83.23
4/16/2021,38.51,-84.05
4/16/2021,38.6,-85.34
